rows,duration,AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_median,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,Total_A_median,A_peak,A_mean,A_std,A_range,A_min,A_peak_index_ratio,gyro_abs_peak,gyro_abs_mean,accel_abs_peak,AccelX_first,AccelX_last,AccelX_delta,AccelY_first,AccelY_last,AccelY_delta,AccelZ_first,AccelZ_last,AccelZ_delta,GyroX_first,GyroX_last,GyroX_delta,GyroY_first,GyroY_last,GyroY_delta,GyroZ_first,GyroZ_last,GyroZ_delta,label,label_name
23,2.1581039428710938,-0.418695652173913,0.6682562406457985,1.01,-2.0,3.01,-0.22,0.22478260869565214,0.42819780438927346,0.8,-0.67,1.4700000000000002,0.1,0.7200000000000001,0.2422995891640985,1.58,0.35,1.23,0.64,-65.12478260869565,140.4836507430205,132.35,-501.91,634.26,-33.8,82.34608695652175,170.37929325582888,489.97,-304.08,794.05,39.88,5.684782608695655,205.5022976175375,417.04,-502.2,919.24,16.04,1.104782608695652,0.43815594531064755,2.57,0.66,1.9099999999999997,0.97,2.57,1.104782608695652,0.43815594531064755,1.9099999999999997,0.66,0.6363636363636364,502.2,170.44,2.0,-0.1,-0.78,-0.68,0.72,0.1,-0.62,0.6,0.58,-0.020000000000000018,-7.42,-30.73,-23.310000000000002,-8.96,89.42,98.38,-4.35,64.95,69.3,1,fall
23,2.269745349884033,-0.3647826086956521,0.38231198070801464,0.21,-1.43,1.64,-0.35,0.33478260869565213,0.527195578382077,2.0,-0.79,2.79,0.18,0.7039130434782608,0.46652232851595915,1.87,-0.2,2.0700000000000003,0.71,-27.18521739130435,155.34452768164192,287.33,-501.91,789.24,-13.8,21.433478260869574,168.33792411825294,489.97,-172.75,662.72,-28.31,-16.11826086956522,122.04398881521716,201.86,-372.69,574.55,-5.91,1.0382608695652173,0.5356020586381193,3.09,0.23,2.86,0.95,3.09,1.0382608695652173,0.5356020586381193,2.86,0.23,0.4090909090909091,501.91,137.01260869565218,2.0,-0.05,-0.34,-0.29000000000000004,0.61,0.1,-0.51,0.71,0.86,0.15000000000000002,-27.56,-9.59,17.97,-3.53,-28.82,-25.29,-6.25,7.63,13.879999999999999,1,fall
25,2.5271177291870117,0.26880000000000004,0.4104603107081934,2.0,-0.05,2.05,0.19,-0.38839999999999997,0.2726517925853414,0.2,-0.85,1.05,-0.45,0.7056,0.31808122652345683,1.41,-0.12,1.5299999999999998,0.73,-15.6868,114.09513635266549,92.35,-501.91,594.26,-1.65,-43.037600000000005,142.19979902939386,271.95,-510.57,782.52,-10.31,25.0256,102.16256755289581,498.34,-80.38,578.72,6.87,0.9432,0.4095599264251,2.51,0.0,2.51,0.89,2.51,0.9432,0.4095599264251,2.51,0.0,0.625,510.57,95.47039999999998,2.0,0.13,0.23,0.1,-0.64,-0.1,0.54,0.71,0.85,0.14,-4.84,9.13,13.97,-25.79,-12.96,12.829999999999998,5.51,12.12,6.609999999999999,1,fall
18,1.7500383853912354,-0.16833333333333333,0.1015902959701079,-0.05,-0.46,0.41000000000000003,-0.135,-0.8411111111111111,0.11811703512587887,-0.62,-1.05,0.43000000000000005,-0.845,0.4538888888888888,0.11677725850770415,0.67,0.25,0.42000000000000004,0.44,5.3633333333333315,34.55392886489176,76.66,-78.53,155.19,5.0600000000000005,72.24666666666667,46.07943384558247,130.06,-32.75,162.81,82.83500000000001,-50.91722222222223,29.981969445486154,0.18,-116.83,117.01,-44.864999999999995,0.9783333333333333,0.15123997292966138,1.25,0.71,0.54,0.985,1.25,0.9783333333333333,0.15123997292966138,0.54,0.71,0.29411764705882354,130.06,89.61333333333333,1.05,-0.12,-0.21,-0.09,-0.8,-1.01,-0.20999999999999996,0.25,0.62,0.37,14.14,-19.42,-33.56,82.69,121.57,38.879999999999995,-43.97,-33.88,10.089999999999996,0,normal
25,2.470993995666504,-0.0027999999999999982,0.1527394295306007,0.64,-0.17,0.81,-0.04,-0.99,0.2599358895317587,-0.45,-2.0,1.55,-0.96,-0.0444,0.1430058273870917,0.14,-0.49,0.63,-0.02,-11.799199999999995,39.650971291171835,114.09,-100.35,214.44,-8.86,-25.4936,45.310867246905204,84.75,-101.34,186.09,-36.21,3.1351999999999998,41.30551376834171,133.51,-99.68,233.19,2.79,1.008,0.270755116910712,2.1,0.56,1.54,0.97,2.1,1.008,0.270755116910712,1.54,0.56,1.0,133.51,57.0952,2.0,-0.06,0.64,0.7,-1.0,-2.0,-1.0,0.02,-0.02,-0.04,13.44,114.09,100.65,49.69,84.75,35.06,3.27,133.51,130.23999999999998,0,normal
22,2.1730194091796875,-0.9918181818181817,0.03862350180621758,-0.93,-1.09,0.16000000000000003,-0.99,0.020000000000000004,0.20816659994661327,0.8,-0.3,1.1,-0.02,-0.1440909090909091,0.07525569688349125,0.12,-0.31,0.43,-0.15,-8.981363636363637,37.36453963133324,58.24,-156.41,214.65,-5.325,8.036363636363637,79.09069396497588,318.72,-55.02,373.74,-13.635,-8.775909090909092,43.178585263121754,58.21,-164.35,222.56,-3.3600000000000003,1.0240909090909094,0.059494624879987176,1.23,0.97,0.26,1.01,1.23,1.0240909090909094,0.059494624879987176,0.26,0.97,0.0,318.72,47.65227272727273,1.09,-0.93,-1.0,-0.06999999999999995,0.8,-0.02,-0.8200000000000001,0.12,-0.16,-0.28,-156.41,-9.76,146.65,318.72,-16.03,-334.75,-82.31,-6.44,75.87,0,normal
25,2.469770669937134,-0.242,0.2006240264773888,0.07,-0.58,0.6499999999999999,-0.23,-0.8320000000000001,0.10428326807307103,-0.6,-1.0,0.4,-0.83,0.3732,0.14305360300717118,0.67,0.18,0.49000000000000005,0.38,12.993200000000003,65.25438546692986,129.33,-139.51,268.84000000000003,32.46,26.3492,94.05159882213593,179.5,-160.69,340.19,16.76,-26.976399999999998,58.79496817188809,67.69,-116.41,184.1,-20.11,0.9688000000000001,0.1397712416772492,1.18,0.67,0.5099999999999999,0.97,1.18,0.9688000000000001,0.1397712416772492,0.5099999999999999,0.67,0.25,179.5,100.94120000000001,1.0,-0.44,-0.06,0.38,-0.82,-0.74,0.07999999999999996,0.23,0.18,-0.05000000000000002,74.98,-44.81,-119.79,107.82,-130.31,-238.13,-20.11,26.58,46.69,0,normal
25,2.49121356010437,-0.036399999999999995,0.1396686555148768,0.29,-0.58,0.8699999999999999,-0.04,-0.934,0.39088574630787787,-0.21,-2.0,1.79,-0.97,-0.05720000000000001,0.24179054296367064,0.13,-0.91,1.04,0.06,-13.578000000000001,85.73969418147777,134.05,-181.37,315.42,-2.76,-10.136400000000002,34.09116709647823,98.38,-98.61,196.99,-10.79,-11.6024,53.86835839030801,56.58,-232.96,289.54,-5.39,0.9632,0.41988808032617453,2.22,0.23,1.9900000000000002,0.97,2.22,0.9632,0.41988808032617453,1.9900000000000002,0.23,1.0,232.96,69.84120000000001,2.0,0.01,0.29,0.27999999999999997,-0.92,-2.0,-1.08,-0.31,-0.91,-0.6000000000000001,106.66,-19.04,-125.69999999999999,-39.94,-98.61,-58.67,32.76,-232.96,-265.72,0,normal
25,2.467236042022705,-0.10680000000000002,0.21786310686606242,0.16,-0.43,0.59,-0.1,-0.41960000000000003,0.5229601641935391,0.85,-1.0,1.85,-0.68,0.5456,0.5352264318336056,2.0,-0.03,2.03,0.55,53.992,119.29559093556922,405.37,-122.92,528.29,20.46,5.6892000000000005,80.52989185803409,326.24,-116.23,442.47,-16.89,-15.485999999999997,65.89444728756234,253.63,-146.43,400.06,-13.3,0.9876,0.30654363474063523,2.21,0.64,1.5699999999999998,0.93,2.21,0.9876,0.30654363474063523,1.5699999999999998,0.64,0.5416666666666666,405.37,100.27480000000001,2.0,0.14,-0.29,-0.43,-0.94,-0.12,0.82,0.03,0.87,0.84,20.46,-12.82,-33.28,-19.13,-17.73,1.3999999999999986,-25.44,-25.57,-0.129999999999999,1,fall
22,2.160207986831665,-0.6254545454545455,0.5015663776299516,-0.04,-2.0,1.96,-0.605,0.3145454545454545,0.7829415064980287,1.91,-1.16,3.07,0.615,-0.19818181818181815,0.3580454395695284,0.27,-0.78,1.05,0.02,22.431818181818183,144.30491341126273,498.63,-171.08,669.71,-12.265,4.202727272727279,128.27818647588188,390.66,-165.51,556.1700000000001,-9.33,-74.07590909090908,142.04197373141204,150.67,-452.84,603.51,-64.66499999999999,1.1268181818181817,0.464823431542368,2.6,0.68,1.92,0.995,2.6,1.1268181818181817,0.464823431542368,1.92,0.68,0.47619047619047616,498.63,154.88636363636368,2.0,-0.13,-0.95,-0.82,1.01,-0.2,-1.21,0.06,-0.26,-0.32,-7.44,9.62,17.06,-8.84,-165.51,-156.67,-34.25,37.14,71.39,1,fall
