rows,duration,AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_median,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,Total_A_median,A_peak,A_mean,A_std,A_range,A_min,A_peak_index_ratio,gyro_abs_peak,gyro_abs_mean,accel_abs_peak,accel_abs_mean,AccelX_first,AccelX_last,AccelX_delta,AccelY_first,AccelY_last,AccelY_delta,AccelZ_first,AccelZ_last,AccelZ_delta,GyroX_first,GyroX_last,GyroX_delta,GyroY_first,GyroY_last,GyroY_delta,GyroZ_first,GyroZ_last,GyroZ_delta,label,label_name
33,6.3999998569488525,-0.046060606060606066,0.19395455965798075,0.29,-0.57,0.8599999999999999,0.01,-0.9281818181818182,0.15034241220989808,-0.68,-1.34,0.66,-0.91,0.2560606060606061,0.11352145705601743,0.47,-0.09,0.5599999999999999,0.26,-0.1254545454545437,27.51837296367977,83.37,-53.05,136.42000000000002,-7.73,-22.662727272727274,45.861724937081746,94.09,-113.56,207.65,-30.07,2.5678787878787883,21.668288574200975,44.08,-47.79,91.87,-0.73,0.9906060606060607,0.13781644028243226,1.35,0.79,0.56,0.97,1.35,0.9906060606060607,0.13781644028243226,0.56,0.79,0.25,113.56,44.29454545454545,1.34,0.9281818181818182,0.08,0.1,0.020000000000000004,-0.92,-0.87,0.050000000000000044,0.26,0.3,0.03999999999999998,-16.85,0.61,17.46,8.11,-48.33,-56.44,-17.28,11.05,28.330000000000002,0,normal
24,4.6000001430511475,0.32666666666666666,0.4909145561594964,2.0,-0.08,2.08,0.05,-0.48583333333333334,0.6201606851150102,0.6,-2.0,2.6,-0.475,0.32958333333333334,0.42491410044104583,0.93,-0.23,1.1600000000000001,0.24,18.447916666666668,41.48537657276426,140.82,-36.52,177.34,11.33,-14.048749999999998,24.85213249751242,29.41,-70.38,99.78999999999999,-17.25,-0.9162500000000003,20.90457819889971,42.53,-48.2,90.73,-4.1049999999999995,1.0141666666666667,0.45140280543393085,2.98,0.35,2.63,0.955,2.98,1.0141666666666667,0.45140280543393085,2.63,0.35,0.5217391304347826,140.82,36.733333333333334,2.0,0.8979166666666667,-0.08,0.82,0.8999999999999999,-0.96,0.12,1.08,-0.07,0.58,0.6499999999999999,9.94,-5.95,-15.89,-0.34,9.89,10.23,10.38,-0.02,-10.4,1,fall
20,1.9600000381469727,0.253,0.07189905203972112,0.4,0.13,0.27,0.255,-0.013999999999999999,0.1270060089751248,0.29,-0.22,0.51,-0.06,0.8995000000000001,0.13732309193630676,1.16,0.69,0.47,0.885,-6.390500000000001,29.860287564272596,32.4,-76.26,108.66,4.54,-10.763500000000002,15.901930460432188,10.46,-51.76,62.22,-9.155000000000001,-3.1295000000000006,29.19706518686965,61.08,-49.16,110.24,-2.6799999999999997,0.9465,0.14191454062958192,1.21,0.77,0.43999999999999995,0.94,1.21,0.9465,0.14191454062958192,0.43999999999999995,0.77,0.05263157894736842,76.26,34.50899999999999,1.16,0.8995000000000001,0.24,0.27,0.030000000000000027,-0.05,-0.08,-0.03,1.01,0.85,-0.16000000000000003,-26.49,-45.19,-18.7,-25.22,0.64,25.86,-23.13,-35.89,-12.760000000000002,0,normal
16,3.0,-0.25,0.6460546932471481,0.88,-2.0,2.88,-0.015,-0.48874999999999996,0.6722982968891116,0.78,-2.0,2.7800000000000002,-0.5,0.33999999999999997,0.7309810759064378,2.0,-0.58,2.58,0.09999999999999999,19.89625,81.56394725408197,250.13,-126.98,377.11,9.05,-8.719999999999999,31.56626828330098,40.15,-87.27,127.41999999999999,-3.415,31.343125,88.04273990275026,250.13,-58.78,308.90999999999997,7.585,1.1625,0.6388583567583663,2.89,0.43,2.46,0.99,2.89,1.1625,0.6388583567583663,2.46,0.43,0.4666666666666667,250.13,58.483124999999994,2.0,0.9762500000000001,0.04,-0.58,-0.62,-0.98,-0.23,0.75,-0.16,0.74,0.9,-8.63,9.62,18.25,3.69,-12.21,-15.9,-0.47,5.88,6.35,1,fall
19,3.5999999046325684,-0.03789473684210526,0.1598811693230118,0.28,-0.27,0.55,-0.04,-0.9647368421052631,0.3032301733200308,-0.5,-1.56,1.06,-0.94,-0.458421052631579,0.31691679871843575,-0.11,-1.14,1.0299999999999998,-0.35,-5.503684210526315,19.78666588345863,26.27,-46.97,73.24,-1.34,5.293684210526315,58.21488328316492,130.09,-107.5,237.59,5.3,1.4994736842105267,24.797369814308983,41.74,-41.23,82.97,-1.4,1.1026315789473684,0.37734219814768133,1.87,0.58,1.29,1.05,1.87,1.1026315789473684,0.37734219814768133,1.29,0.58,0.9444444444444444,130.09,48.04894736842106,1.56,0.9647368421052631,0.0,-0.0,-0.0,-1.26,-0.77,0.49,-0.18,-0.47,-0.29,19.38,-1.34,-20.72,-5.12,130.09,135.21,17.89,30.77,12.879999999999999,0,normal
30,5.799999952316284,-0.10833333333333334,0.15202275994149655,0.21,-0.43,0.64,-0.1,-0.9623333333333334,0.10880806680710237,-0.65,-1.16,0.5099999999999999,-0.96,-0.28700000000000003,0.21017480409378778,0.22,-0.73,0.95,-0.3,0.6013333333333318,33.30097572696356,76.71,-69.9,146.61,-2.59,10.118666666666668,37.5859637899973,84.98,-71.21,156.19,5.51,0.7666666666666664,21.363806378745004,51.23,-47.16,98.38999999999999,1.8800000000000001,1.0406666666666664,0.12331438189282384,1.37,0.83,0.5400000000000001,1.025,1.37,1.0406666666666664,0.12331438189282384,0.5400000000000001,0.83,0.20689655172413793,84.98,41.28866666666667,1.16,0.9623333333333334,0.08,-0.13,-0.21000000000000002,-0.97,-0.94,0.030000000000000027,-0.4,-0.36,0.040000000000000036,7.11,-35.77,-42.88,37.02,18.44,-18.580000000000002,5.66,-1.08,-6.74,0,normal
20,3.799999952316284,-0.606,0.39146687700171223,-0.03,-1.2,1.17,-0.735,-0.39049999999999996,0.5489748819869918,0.51,-1.35,1.86,-0.305,-0.30650000000000005,0.21672866859156795,0.14,-0.94,1.08,-0.28500000000000003,15.3995,56.29583395589299,238.98,-21.55,260.53,0.25,-11.4125,62.52079585604844,69.06,-250.14,319.2,1.0499999999999998,10.093499999999999,34.095013260160584,74.64,-57.06,131.7,14.01,1.0074999999999998,0.2786598567958321,2.03,0.57,1.46,0.98,2.03,1.0074999999999998,0.2786598567958321,1.46,0.57,0.47368421052631576,250.14,42.9535,1.35,0.8949999999999999,-0.04,-1.05,-1.01,-1.0,-0.06,0.94,-0.22,-0.52,-0.30000000000000004,-16.31,2.46,18.77,-23.99,-4.41,19.58,13.94,-4.21,-18.15,1,fall
17,3.2200000286102295,-0.20411764705882354,0.005072996561958914,-0.2,-0.21,0.009999999999999981,-0.2,-0.0823529411764706,0.010914103126634982,-0.05,-0.09,0.039999999999999994,-0.09,0.91,0.007905694150420955,0.92,0.89,0.030000000000000027,0.91,-2.281764705882353,3.197225819546763,4.74,-12.54,17.28,-1.93,-1.2141176470588235,1.1845255317189738,2.78,-3.16,5.9399999999999995,-1.31,-0.38117647058823534,1.1399883900337604,2.85,-3.37,6.220000000000001,-0.34,0.9358823529411764,0.008702602720890252,0.95,0.91,0.039999999999999925,0.94,0.95,0.9358823529411764,0.008702602720890252,0.039999999999999925,0.91,0.1875,12.54,2.868235294117647,0.92,0.91,-0.21,-0.21,0.0,-0.05,-0.09,-0.039999999999999994,0.92,0.91,-0.010000000000000009,4.74,-1.49,-6.23,2.78,-1.31,-4.09,2.85,-0.24,-3.09,0,normal
20,3.809999942779541,-0.149,0.21165761826218554,0.34,-0.67,1.01,-0.155,-0.869,0.4463288851107561,-0.13,-1.64,1.5099999999999998,-0.76,-0.4589999999999999,0.30726124663584004,-0.09,-1.27,1.18,-0.33999999999999997,-2.7255000000000007,33.28743946374716,48.0,-69.4,117.4,-4.195,-54.117,62.99974629021595,59.13,-165.53,224.66,-47.625,-27.1325,26.323296441105462,12.58,-74.49,87.07,-33.120000000000005,1.033,0.5056116670872388,1.99,0.3,1.69,0.9750000000000001,1.99,1.033,0.5056116670872388,1.69,0.3,0.7368421052631579,165.53,69.2885,1.64,0.8779999999999999,0.03,-0.05,-0.08,-0.56,-0.13,0.43000000000000005,-0.09,-0.27,-0.18000000000000002,-17.26,6.31,23.57,-16.89,23.48,40.370000000000005,-18.18,-2.05,16.13,0,normal
38,7.3999998569488525,-0.06921052631578949,0.15870049266681086,0.27,-0.55,0.8200000000000001,-0.065,-0.8831578947368421,0.16725292811492315,-0.5,-1.43,0.9299999999999999,-0.865,0.32236842105263164,0.13808407565244768,0.62,-0.03,0.65,0.34,-0.9560526315789474,35.439792914674214,94.56,-75.98,170.54000000000002,-2.5749999999999997,-34.9478947368421,47.011471927024125,91.36,-126.24,217.6,-27.740000000000002,6.851315789473683,22.544695447410703,51.07,-31.19,82.26,4.375,0.9681578947368422,0.14076730392711065,1.44,0.77,0.6699999999999999,0.94,1.44,0.9681578947368422,0.14076730392711065,0.6699999999999999,0.77,0.5675675675675675,126.24,54.850526315789466,1.43,0.8844736842105263,-0.08,-0.02,0.06,-0.86,-0.78,0.07999999999999996,0.36,0.53,0.17000000000000004,-4.8,-56.94,-52.14,-27.56,-31.0,-3.4400000000000013,12.03,19.06,7.029999999999999,0,normal
