1780823103.8636045,-1.0186,-2.0,1.4358,250.1298,209.4962,250.1298,2.6644
1780823104.06437,0.002,0.5527,0.7151,231.7176,-97.7176,77.0916,0.9038
1780823104.2640402,0.0911,0.2019,0.6636,11.6412,-6.9008,10.5649,0.6996
1780823104.4640517,-0.2676,-0.1033,0.8491,-5.3588,-8.8702,-56.374,0.8963
1780823104.6671705,-0.9316,-0.1646,0.6985,-52.6412,3.229,-14.0992,1.176
1780823104.8635757,-0.5781,-0.4778,0.5139,-3.374,63.0916,33.7176,0.9092
1780823105.0640855,-0.8613,-0.4548,0.3074,-4.1298,-38.1527,-15.1069,1.0214
1780823105.268428,-0.4968,0.01,0.6104,-15.2824,-3.4733,0.0611,0.7871
1780823105.467249,-0.6082,-0.2234,0.6243,5.2443,5.3664,-8.6794,0.8997
1780823105.6636522,-0.7378,-0.332,0.5625,1.3435,4.4809,0.1145,0.9854
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1780823110.6498976,0.1067,-0.9177,-0.4685,-1.0382,3.1832,3.4275,1.0359
1780823110.850289,0.1165,-0.9077,-0.4331,-1.6641,5.5878,2.2672,1.0125
1780823111.0488853,0.1213,-0.7932,-0.5178,-5.6947,-0.7634,-7.3435,0.955
1780823111.2493567,0.105,-0.8147,-0.2961,4.0076,2.0916,18.0458,0.8732
1780823111.4495018,0.0999,-0.8733,-0.5854,6.687,-3.0076,18.3359,1.0561
1780823111.6504297,0.0642,-0.7642,-0.4309,19.8168,-15.4656,8.0916,0.8796
1780823111.8501506,0.0791,-0.5852,-0.3042,73.0,-50.1985,-15.3817,0.6643
1780823112.050328,0.1909,-2.0,0.5989,250.1298,-104.6718,18.9924,2.0965
1780823112.2499206,-0.1018,0.6926,0.3494,250.1298,-102.1679,52.1374,0.7824
1780823112.449379,-0.3643,0.2725,0.7144,-120.458,-48.8321,-65.8015,0.8469
1780823112.6503146,-0.4292,0.0232,0.9783,8.3053,71.5038,82.855,1.0685
1780823112.8521543,-0.5059,-0.501,0.6982,-50.5954,-3.0458,0.084,0.9972
1780823113.0500498,-0.3875,-0.5098,0.8796,16.7328,-54.0611,-11.2748,1.088
1780823113.2487395,-0.302,0.0312,1.0129,-3.7481,-16.7252,11.0229,1.0575
1780823113.4497387,-0.3455,-0.3684,0.7825,2.0153,-4.5191,0.5038,0.9313
1780823113.6502948,-0.2954,-0.2935,0.8394,-4.0916,3.542,-1.916,0.937
1780823113.8503048,-0.3831,-0.345,0.7698,6.5191,-11.5344,1.2137,0.9264
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1780823120.4463446,0.1562,-0.9058,-0.2126,-1.9237,-5.5496,-5.8779,0.9434
1780823120.632062,0.1475,-0.9568,-0.2903,6.1679,17.4122,2.5344,1.0107
1780823120.8318014,0.2107,-0.9512,-0.3235,6.1221,15.3282,0.1603,1.0265
1780823121.0318036,0.1592,-0.9495,-0.3171,-29.0916,15.0916,14.4504,1.0136
1780823121.2319574,0.1008,-0.801,-0.3308,-3.3511,-6.4198,8.6565,0.8725
1780823121.4318488,0.0415,-0.7646,-0.3984,-14.3511,-34.8931,27.8168,0.8632
1780823121.632452,0.0886,-0.8611,-0.3672,10.9695,0.0992,3.1527,0.9403
1780823121.834369,0.0183,-0.5747,-0.2588,54.7557,-72.7634,6.3435,0.6306
1780823122.0346684,-0.8643,-1.7778,0.292,135.4886,-164.1908,98.7557,1.9982
1780823122.2319055,0.521,0.2473,-0.3223,201.7176,-94.4885,7.6565,0.6606
1780823122.4323545,-0.0327,0.3247,1.9999,-68.5038,52.1374,23.8092,2.0264
1780823122.6319032,-0.2468,0.0554,0.7988,-72.2137,56.1985,42.4962,0.8379
1780823122.8325438,-0.2102,-0.4924,0.7734,56.8931,54.3969,6.1679,0.9407
1780823123.0331562,-0.4543,-0.2261,0.7363,-31.1145,29.771,-15.9389,0.8943
1780823123.2319229,-0.344,-0.5479,1.2034,-59.4809,26.3664,32.7939,1.3662
