AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,A_peak,A_mean,A_std,A_range,A_min,label
0.17200000000000004,0.29050243831449446,1.03,-0.28,1.31,-0.8456,0.2891522090526026,-0.4,-1.42,1.02,0.2404,0.14368600024590658,0.64,0.01,0.63,11.308000000000002,56.9598991981786,122.98,-109.91,232.89,7.485600000000002,97.07775977191342,186.06,-120.76,306.82,-10.564800000000002,49.34989286715829,81.24,-88.75,169.99,0.94,0.3185121661726597,1.45,0.44,1.01,1.45,0.94,0.3185121661726597,1.01,0.44,0
0.05879999999999999,0.2798410262988613,1.03,-0.28,1.31,-0.8436,0.18309560344257314,-0.43,-1.09,0.6600000000000001,0.2824,0.14063190723777208,0.64,0.01,0.63,4.120000000000001,42.508075409267825,101.91,-57.6,159.51,37.99759999999999,82.12443659268942,186.06,-106.75,292.81,-26.112800000000004,38.412421116092126,81.24,-88.75,169.99,0.9351999999999999,0.2160655764654179,1.34,0.46,0.8800000000000001,1.34,0.9351999999999999,0.2160655764654179,0.8800000000000001,0.46,0
-0.0368,0.1128317331250389,0.17,-0.25,0.42000000000000004,-0.8987999999999999,0.09075241043630741,-0.65,-1.09,0.44000000000000006,0.3496,0.09997833098560241,0.54,0.15,0.39,-2.8308,36.19978509604719,62.85,-77.04,139.89000000000001,1.140799999999999,108.32516854821874,186.06,-167.27,353.33000000000004,-5.832400000000002,45.42388260229047,89.75,-77.44,167.19,0.9743999999999998,0.10128672173587216,1.16,0.71,0.44999999999999996,1.16,0.9743999999999998,0.10128672173587216,0.44999999999999996,0.71,0
0.041999999999999996,0.15429949233012186,0.29,-0.25,0.54,-0.524,0.4540190891728379,0.28,-1.09,1.37,0.5808000000000001,0.30402741104490344,1.15,0.15,0.9999999999999999,-8.7704,35.70172200328718,57.79,-77.04,134.83,-49.45,57.75522523258538,44.4,-167.27,211.67000000000002,21.3604,36.49908680136167,89.75,-40.93,130.68,0.9508000000000001,0.13588966112254455,1.2,0.71,0.49,1.2,0.9508000000000001,0.13588966112254455,0.49,0.71,0
0.11440000000000002,0.13291852140816693,0.38,-0.19,0.5700000000000001,-0.20759999999999998,0.37911387910934274,0.28,-1.01,1.29,0.8184,0.2612578547463533,1.16,0.24,0.9199999999999999,-16.7036,39.77449453690979,63.16,-85.76,148.92000000000002,-27.818,36.20139718758564,19.1,-133.77,152.87,13.22,37.54415544839613,75.16,-75.96,151.12,0.9628,0.13983680965086887,1.2,0.75,0.44999999999999996,1.2,0.9628,0.13983680965086887,0.44999999999999996,0.75,0
0.17439999999999997,0.09133637464522737,0.38,0.02,0.36,-0.038400000000000004,0.16895956123680403,0.39,-0.25,0.64,0.9279999999999999,0.14192133971558563,1.16,0.72,0.43999999999999995,-12.1796,47.38272658891634,63.16,-103.56,166.72,-8.101600000000001,24.435406121718813,33.07,-62.49,95.56,-10.508000000000003,36.52274918914694,80.63,-75.96,156.58999999999997,0.9628,0.14627371602581238,1.19,0.75,0.43999999999999995,1.19,0.9628,0.14627371602581238,0.43999999999999995,0.75,0
0.17920000000000003,0.10226273351845562,0.38,0.05,0.33,-0.04,0.17729448195962935,0.39,-0.25,0.64,0.9003999999999999,0.12953377937819924,1.15,0.74,0.4099999999999999,-13.002000000000002,47.641035620565596,59.77,-122.02,181.79,-10.73,22.940836042597343,33.07,-50.75,83.82,-10.2884,36.51014079220548,80.63,-75.96,156.58999999999997,0.9396,0.137885217965282,1.19,0.75,0.43999999999999995,1.19,0.9396,0.137885217965282,0.43999999999999995,0.75,0
0.2032,0.09990495483208027,0.41,0.06,0.35,-0.004400000000000005,0.1726045576841276,0.39,-0.25,0.64,0.9024,0.14503677694525158,1.19,0.7,0.49,-6.9312000000000005,56.9303123212933,88.85,-140.92,229.76999999999998,-16.171200000000002,22.2240022873169,17.45,-52.06,69.51,6.421600000000001,39.72990820108532,80.63,-72.9,153.53,0.9451999999999999,0.14852384769232627,1.21,0.76,0.44999999999999996,1.21,0.9451999999999999,0.14852384769232627,0.44999999999999996,0.76,0
0.22880000000000003,0.0893177847165203,0.41,0.07,0.33999999999999997,-0.019200000000000005,0.15432433379088342,0.36,-0.25,0.61,0.8924,0.1444899073753365,1.19,0.7,0.49,-1.8567999999999996,52.836374995514845,88.85,-140.92,229.76999999999998,-12.947199999999999,25.045539110455046,36.27,-52.06,88.33000000000001,21.956,26.65727636750111,80.47,-31.08,111.55,0.9372000000000001,0.14788847149118825,1.21,0.76,0.44999999999999996,1.21,0.9372000000000001,0.14788847149118825,0.44999999999999996,0.76,0
0.2176,0.10886842211281163,0.41,0.02,0.38999999999999996,-0.1476,0.33151520829870434,0.36,-0.98,1.3399999999999999,0.8064,0.31975094474710575,1.19,0.01,1.18,3.4624,50.82106496326105,88.85,-140.92,229.76999999999998,-8.675600000000001,28.119768117820602,56.73,-52.06,108.78999999999999,15.536399999999997,33.17968578814453,80.47,-62.37,142.84,0.9556,0.14436874084556298,1.21,0.76,0.44999999999999996,1.21,0.9556,0.14436874084556298,0.44999999999999996,0.76,0
0.010000000000000004,0.2612629582113265,0.39,-0.58,0.97,-0.5268,0.4844818538053481,0.13,-1.16,1.29,0.5556,0.36226233588381773,1.14,0.01,1.13,9.6188,37.57797153031724,68.12,-96.03,164.15,-5.8124,25.074277204604194,56.73,-51.12,107.85,7.458000000000002,35.773319434088485,62.23,-64.86,127.09,0.9884000000000001,0.16090059042775448,1.37,0.77,0.6000000000000001,1.37,0.9884000000000001,0.16090059042775448,0.6000000000000001,0.77,0
-0.10439999999999999,0.19948015774340397,0.26,-0.58,0.84,-0.8536,0.2674085513466863,-0.09,-1.16,1.0699999999999998,0.2964,0.2588255525767629,1.12,0.01,1.11,2.6507999999999994,36.83901045087938,66.99,-112.24,179.23,-0.2263999999999997,22.7909996636099,56.73,-51.12,107.85,-5.620799999999999,38.63379812633838,49.72,-72.12,121.84,0.9788,0.2009419484992287,1.37,0.34,1.03,1.37,0.9788,0.2009419484992287,1.03,0.34,0
-0.2048,0.17524078672881305,0.05,-0.58,0.63,-0.8696,0.1836545670545658,-0.32,-1.16,0.8399999999999999,0.36,0.1833712082089225,0.75,0.1,0.65,2.021599999999999,44.931968823248035,85.76,-112.24,198.0,-16.1756,27.87115385722904,26.47,-74.24,100.71,-8.114,36.14018954017812,68.52,-72.12,140.64,0.9887999999999999,0.21475412297167507,1.37,0.34,1.03,1.37,0.9887999999999999,0.21475412297167507,1.03,0.34,0
-0.21960000000000002,0.1562711319043497,0.05,-0.57,0.62,-0.8295999999999999,0.1363048054912225,-0.5,-1.04,0.54,0.40759999999999996,0.18337757042052152,0.75,0.14,0.61,4.5375999999999985,53.84751389185329,106.23,-123.22,229.45,-5.5744,52.611954129582884,128.58,-100.9,229.48000000000002,-3.6115999999999993,36.06608872149386,73.54,-60.83,134.37,0.9763999999999998,0.1540259718359212,1.23,0.54,0.69,1.23,0.9763999999999998,0.1540259718359212,0.69,0.54,0
-0.2724,0.16328094397897958,0.04,-0.61,0.65,-0.7852,0.13571170423609996,-0.5,-0.98,0.48,0.49439999999999995,0.15305445653971225,0.75,0.14,0.61,2.3595999999999995,59.21033535062382,106.23,-123.22,229.45,14.545200000000001,59.15613698228331,128.58,-100.9,229.48000000000002,-16.4712,40.240664685530895,73.54,-73.96,147.5,0.9828000000000001,0.194133115842369,1.23,0.54,0.69,1.23,0.9828000000000001,0.194133115842369,0.69,0.54,0
-0.27159999999999995,0.13852436608770313,-0.03,-0.61,0.58,-0.7972,0.11977478866606278,-0.56,-1.01,0.44999999999999996,0.4732,0.14117719362559947,0.74,0.23,0.51,6.871999999999999,58.289101468456344,106.23,-117.82,224.05,34.784,41.48446375853656,127.4,-61.59,188.99,-32.9732,21.81261613531643,-1.44,-95.63,94.19,0.9775999999999999,0.17621672262680788,1.23,0.62,0.61,1.23,0.9775999999999999,0.17621672262680788,0.61,0.62,0
-0.0524,0.31329272786538365,0.44,-0.61,1.05,-0.5336,0.3901055412748367,0.14,-1.01,1.15,0.6212000000000001,0.251980819375867,1.04,0.22,0.8200000000000001,16.744,55.149153211994104,111.24,-101.4,212.64,7.070799999999999,44.42209697136475,109.3,-66.15,175.45,64.5816,135.2782633956148,287.53,-95.63,383.15999999999997,0.9756,0.15289102873179533,1.23,0.69,0.54,1.23,0.9756,0.15289102873179533,0.54,0.69,0
0.0712,0.222940948833243,0.44,-0.37,0.81,-0.5920000000000001,0.43104524124504606,0.14,-1.09,1.23,0.49800000000000005,0.34806608567914227,1.04,0.0,1.04,11.137199999999998,58.126523243123124,111.24,-110.23,221.47,8.509199999999998,42.169764436935935,109.3,-66.15,175.45,70.6308,130.34270555347544,287.53,-64.61,352.14,0.9668000000000001,0.1082712642701962,1.17,0.74,0.42999999999999994,1.17,0.9668000000000001,0.1082712642701962,0.42999999999999994,0.74,0
0.0628,0.14689905831329667,0.34,-0.2,0.54,-0.7975999999999999,0.3629540834136829,0.14,-1.18,1.3199999999999998,0.31079999999999997,0.2891066700487325,1.04,0.0,1.04,5.7252,66.74660329185299,150.44,-110.23,260.67,-32.868,58.587109503712504,54.43,-126.99,181.42,38.913199999999996,102.96754285210463,287.53,-64.61,352.14,0.9772,0.09611278097457521,1.19,0.78,0.4099999999999999,1.19,0.9772,0.09611278097457521,0.4099999999999999,0.78,0
